,id,title,categories,abstract,doi,created,updated,authors
17,1209.3632,quantum techniques for stochastic mechanics,quant-ph math-ph math.mp math.pr,"some ideas from quantum theory are just beginning to percolate back to classical probability theory. for example, there is a widely used and successful theory of ""chemical reaction networks"", which describes the interactions of molecules in a stochastic rather than quantum way. computer science and population biology use the same ideas under a different name: ""stochastic petri nets"". but if we look at these theories from the perspective of quantum theory, they turn out to involve creation and annihilation operators, coherent states and other well-known ideas - but in a context where probabilities replace amplitudes. we explain this connection as part of a detailed analogy between quantum mechanics and stochastic mechanics. we use this analogy to present new proofs of two major results in the theory of chemical reaction networks: the deficiency zero theorem and the anderson-craciun-kurtz theorem. we also study the overlap of quantum mechanics and stochastic mechanics, which involves hamiltonians that can generate either unitary or stochastic time evolution. these hamiltonians are called ""dirichlet forms"", and they arise naturally from electrical circuits made only of resistors.",,2012-09-17,2019-05-04,"['john c. baez', 'jacob biamonte']"
18,1210.0567,existence of isoperimetric regions in non-compact riemannian manifolds   under ricci or scalar curvature conditions,math.dg math-ph math.mp math.oc,"we prove existence of isoperimetric regions for every volume in non-compact riemannian $n$-manifolds $(m,g)$, $n\geq 2$, having ricci curvature $ric_g\geq (n-1) k_0 g$ and being locally asymptotic to the simply connected space form of constant sectional curvature $k_0$; moreover in case $k_0=0$ we show that the isoperimetric regions are indecomposable. we also discuss some physically and geometrically relevant examples. finally, under assumptions on the scalar curvature we prove existence of isoperimetric regions of small volume.",10.4310/cag.2016.v24.n1.a5,2012-10-01,,"['andrea mondino', 'stefano nardulli']"
19,1210.8161,variations on a theme of grothendieck,math.ag math-ph math.mp math.sg,"grothendieck and harder proved that every principal bundle over the projective line with split reductive structure group (and trivial over the generic point) can be reduced to a maximal torus. furthermore, this reduction is unique modulo automorphisms and the weyl group. in a series of six variations on this theme, we prove corresponding results for principal bundles over the following schemes and stacks: (1) a line modulo the group of nth roots of unity; (2) a football, that is, an orbifold of genus zero with two marked points; (3) a gerbe over a football whose structure group is the nth roots of unity; (4) a chain of lines meeting in nodes; (5) a line modulo an action of a split torus; and (6) a chain modulo an action of a split torus. we also prove that the automorphism groups of such bundles are smooth, affine, and connected.",10.1112/s0010437x15007484,2012-10-30,2015-05-22,"['johan martens', 'michael thaddeus']"
20,1301.0110,effective complex permittivity tensor of a periodic array of cylinders,cond-mat.mtrl-sci math-ph math.ap math.mp physics.optics,"we determine the effective complex permittivity of a two-dimensional composite, consisting of an arbitrary doubly periodic array of identical circular cylinders in a homogeneous matrix, and whose dielectric properties are complex-valued. efficient formulas are provided to determine the effective complex permittivity tensor which are in excellent agreement with numerical calculations. we also show that in contrast to the real-valued case, the real and imaginary parts of the effective complex-valued tensor can exhibit non-monotonic behavior as functions of volume fraction of cylinders, and can be either greater or less than that of the constituents.",10.1063/1.4803490,2013-01-01,,['yuri a. godin']
21,1307.4104,conformal field theory at the lattice level: discrete complex analysis   and virasoro structure,math-ph math.mp math.pr,"critical statistical mechanics and conformal field theory (cft) are conjecturally connected since the seminal work of beliavin, polyakov, and zamolodchikov [bpz84a]. both exhibit exactly solvable structures in two dimensions. a long-standing question [itth87] concerns whether there is a direct link between these structures, that is, whether the virasoro algebra representations of cft, the distinctive feature of cft in two dimensions, can be found within lattice models of statistical mechanics. we give a positive answer to this question for the discrete gaussian free field and for the ising model, by connecting the structures of discrete complex analysis in the lattice models with the virasoro symmetry that is expected to describe their scaling limits. this allows for a tight connection of a number of objects from the lattice model world and the field theory one. in particular, our results link the cft local fields with lattice local fields introduced in [ghp19] and the probabilistic formulation of the lattice model with the continuum correlation functions. our construction is a decisive step towards establishing the conjectured correspondence between the correlation functions of the cft fields and those of the lattice local fields. in particular, together with the upcoming [chi19], our construction will complete the picture initiated in [hosm13, hon12, chi15], where a number of conjectures relating specific ising lattice fields and cft correlations were proven.",,2013-07-15,2019-06-20,"['clément hongler', 'fredrik johansson viklund', 'kalle kytölä']"
22,1307.6808,fusion procedure for the yang-baxter equation and schur-weyl duality,math-ph math.mp math.rt,"we use the fusion formulas of the symmetric group and of the hecke algebra to construct solutions of the yang-baxter equation on irreducible representations of $\mathfrak{gl}_n$, $\mathfrak{gl}_{n|m}$, $u_q(\mathfrak{gl}_n)$ and $u_q(\mathfrak{gl}_{n|m})$. the solutions are obtained via the fusion procedure for the yang--baxter equation, which is reviewed in a general setting. distinguished invariant subspaces on which the fused solutions act are also studied in the general setting, and expressed, in general, with the help of a fusion function. only then, the general construction is specialised to the four situations mentioned above. in each of these four cases, we show how the distinguished invariant subspaces are identified as irreducible representations, using the relevant fusion formula combined with the relevant schur--weyl duality.",,2013-07-25,2019-06-17,"[""l. poulain d'andecy""]"
23,1310.8263,conformal nets iii: fusion of defects,math.oa math-ph math.mp,"conformal nets provides a mathematical model for conformal field theory. we define a notion of defect between conformal nets, formalizing the idea of an interaction between two conformal field theories. we introduce an operation of fusion of defects, and prove that the fusion of two defects is again a defect, provided the fusion occurs over a conformal net of finite index. there is a notion of sector (or bimodule) between two defects, and operations of horizontal and vertical fusion of such sectors. our most difficult technical result is that the horizontal fusion of the vacuum sectors of two defects is isomorphic to the vacuum sector of the fused defect. equipped with this isomorphism, we construct the basic interchange isomorphism between the horizontal fusion of two vertical fusions and the vertical fusion of two horizontal fusions of sectors.",,2013-10-30,2019-05-15,"['arthur bartels', 'christopher l. douglas', 'andré henriques']"
24,1311.0934,the two-dimensional euler equations in yudovich type space and   $\mathrm{\textbf{bmo}}$-type space,math.ap math-ph math.mp,"we construct global-in-time, unique solutions of the two-dimensional euler equations in a yudovich type space and a $\rm bmo$-type space. first, we show the regularity of solutions for the two-dimensional euler equations in the spanne space involving an unbounded and non-decaying vorticity. next, we establish an estimate with a logarithmic loss of regularity for the transport equation in a bmo-type space by developing classical analysis tool such as the john-nirenberg inequality. we also optimize estimates of solutions to the vorticity-stream formulation of the two-dimensional euler equations with a bi-lipschitz vector field in bmo-type space by combining an observation introduced by yodovich with the so-called ""quasi-conformal property"" of the incompressible.",10.4171/rmi/1053,2013-11-04,2019-01-09,"['qionglei chen', 'changxing miao', 'xiaoxin zheng']"
25,1311.1705,products of bessel functions and associated polynomials,math-ph math.mp,the symbolic method is used to get explicit formulae for the products or powers of bessel functions and for the relevant integrals.,,2013-11-07,2019-06-11,"['g. dattoli', 'e. di palma', 'e. sabia', 's. licciardi']"
26,1312.1791,topological t-duality for stacks using a gysin sequence,math-ph hep-th math.gn math.gt math.mp,"in this paper we study the topological t-dual of spaces with a non-free circle action mainly using the stack theory method of bunke and co-workers \cite{bunke1}. we first compare three formalisms for obtaining the topological t-dual of a semi-free $s^1$-space in a simple example. then, we calculate the t-dual of general kk-monopole backgrounds using the stack theory method. we define the dyonic coordinate for these backgrounds. we introduce an approach to topological t-duality using classifying spaces which simultaneously generalizes the methods of bunke et al \cite{bunke1} and mathai and wu \cite{mawu}. then, we define a cohomology gysin sequence for prinicpal bundles of stacks and describe an application to topological t-duality for stacks. we apply the above to calculate the topological t-dual of a general compact three-manifold with an {\em arbitrary} smooth circle action. we point out a possible application of these t-duals to higher-dimensional black holes.",10.4310/atmp.2018.v22.n6.a5,2013-12-06,2017-02-03,['ashwin s. pande']
27,1401.3822,global solutions for semilinear klein-gordon equations in flrw   spacetimes,math.ap math-ph math.mp,"we consider waves, which obey the semilinear klein-gordon equation, propagating in the friedmann-lemaitre-robertson-walker spacetimes. the equations in the de sitter and einstein-de sitter spacetimes are the important particular cases.   we show the global in time existence in the energy class of solutions of the cauchy problem.",,2014-01-15,2014-07-08,"['anahit galstian', 'karen yagdjian']"
28,1402.6041,spectral distances on graphs,math.sp math-ph math.mp,"by assigning a probability measure via the spectrum of the normalized laplacian to each graph and using l^p wasserstein distances between probability measures, we define the corresponding spectral distances d_p on the set of all graphs. this approach can even be extended to measuring the distances between infinite graphs. we prove that the diameter of the set of graphs, as a pseudo-metric space equipped with d_1, is one. we further study the behavior of d_1 when the size of graphs tends to infinity by interlacing inequalities aiming at exploring large real networks. a monotonic relation between d_1 and the evolutionary distance of biological networks is observed in simulations.",10.1016/j.dam.2015.04.011,2014-02-24,2015-03-31,"['jiao gu', 'bobo hua', 'shiping liu']"
29,1403.0423,generalization of the schwarz-christoffel mapping to multiply connected   polygonal domains,math-ph math.mp physics.flu-dyn,"a generalization of the schwarz-christoffel mapping to multiply connected polygonal domains is obtained by making a combined use of two preimage domains, namely, a rectilinear slit domain and a bounded circular domain. the conformal mapping from the circular domain to the polygonal region is written as an indefinite integral whose integrand consists of a product of powers of the schottky-klein prime functions, which is the same irrespective of the preimage slit domain, and a prefactor function that depends on the choice of the rectilinear slit domain. a detailed derivation of the mapping formula is given for the case where the preimage slit domain is the upper half-plane with radial slits. representation formulae for other canonical slit domains are also obtained but they are more cumbersome in that the prefactor function contains arbitrary parameters in the interior of the circular domain.",10.1098/rspa.2013.0848,2014-03-03,2014-03-10,['giovani l. vasconcelos']
30,1403.7885,spinors on singular spaces and the topology of causal fermion systems,math-ph gr-qc math.dg math.mp,"causal fermion systems and riemannian fermion systems are proposed as a framework for describing non-smooth geometries. in particular, this framework provides a setting for spinors on singular spaces. the underlying topological structures are introduced and analyzed. the connection to the spin condition in differential topology is worked out. the constructions are illustrated by many simple examples like the euclidean plane, the two-dimensional minkowski space, a conical singularity, a lattice system as well as the curvature singularity of the schwarzschild space-time. as further examples, it is shown how complex and k\""ahler structures can be encoded in riemannian fermion systems.",10.1090/memo/1251,2014-03-31,2018-06-15,"['felix finster', 'niky kamran']"
31,1404.1296,covariant bimodules over monoidal hom-hopf algebras,math.qa math-ph math.mp,"covariant hom-bimodules are introduced and the structure theory of them in the hom-setting is studied in a detailed way. the category of bicovariant hom-bimodules is proved to be a (pre)braided monoidal category and its structure theory is also provided in coordinate form. the notion of hom-yetter-drinfel'd modules is presented and it is shown that the category of hom-yetter-drinfel'd modules is a (pre)braided tensor category as well. as one of the main results, a (pre)braided monoidal equivalence between these tensor categories is verified, which extends the fundamental theorem of hom-hopf modules.",,2014-04-04,2019-05-25,['serkan karaçuha']
32,1406.0972,kinematical versus dynamical contractions of the de sitter lie algebras,math-ph math.mp,"we explicit and clarify better the contraction method that bacry and levy-leblond\cite{jmll} used to link all the kinematical lie groups. firstly, we use the kinematical parameters: the speed $c$ of light, the radius $r$ of the universe and the period $\tau$ of the universe constrained by $r=c\tau$. secondly, we use the dynamical parameters that are mass $m$, energy $e_0$ and compliance $c$. the kinematical and the dynamical parameters are related by the three relations $c^2=\frac{e_0}{m}$, $\tau^2=mc$ and $r^2=ce_0$. for each kinematical lie algebra, we express the associated physical quantities in function of these dynamical parameters.",,2014-06-04,2019-03-30,['joachim nzotungicimpaye']
33,1406.4290,conformal field theory on the plane,hep-th math-ph math.mp,"we review conformal field theory on the plane in the conformal bootstrap approach. we introduce the main ideas of the bootstrap approach to quantum field theory, and how they apply to two-dimensional theories with local conformal symmetry. we describe the mathematical structures that appear in such theories, from the virasoro algebra and its representations, to bpz equations and conformal blocks. examples include liouville theory, (generalized) minimal models, free bosonic theories, the $h_3^+$ model, and the $su_2$ and $\widetilde{sl}_2(\mathbb{r})$ wzw models. we also discuss relations between some of these models, and limits of these models when the central charge and/or conformal dimensions tend to particular values.",,2014-06-17,2019-06-04,['sylvain ribault']
34,1408.0333,an introduction to spectral data for higgs bundles,math.ag math-ph math.dg math.mp,"these notes have been prepared as reading material for the mini-course that the author gave at ims, national university of singapore, as part of the ""summer school on the moduli space of higgs bundles"".",,2014-08-01,,['laura p. schaposnik']
35,1409.6091,"conservation laws of partial differential equations: symmetry, adjoint   symmetry and nonlinear self-adjointness",math-ph math.mp nlin.si,"nonlinear self-adjointness method for constructing conservation laws of partial differential equations (pdes) is further studied. we show that any adjoint symmetry of pdes is a differential substitution of nonlinear self-adjointness and vice versa. consequently, each symmetry of pdes corresponds to a conservation law via a formula if the system of pdes is nonlinearly self-adjoint with differential substitution. as a byproduct, we find that the set of differential substitutions includes the set of conservation law multipliers as a subset. the results are illustrated by three typical examples.",,2014-09-22,2019-05-21,['zhi-yong zhang']
36,1411.3099,some results on topological currents in field theory,hep-th math-ph math.mp,"a few exact results concerning topological currents in field theories are obtained. it is generally shown that, a topological charge can not generate any kind of symmetry transformation on the fields. it is also proven that, the existence of a charge that does not generate any kind of symmetry transformation on the fields, has to be of topological origin. as a consequence, it is found that in a given theory, superconductivity via anderson-higgs route can only occur if the gauge coupling with other fields is minimal. several physical implications of these results are studied.",10.1142/s0217751x19500969,2014-11-12,2019-06-04,"['vivek m. vyas', 'v. srinivasan', 'prasanta k. panigrahi']"
37,1411.4396,embedded area-constrained willmore tori of small area in riemannian   three-manifolds i: minimization,math.dg math-ph math.ap math.mp,"we construct embedded willmore tori with small area constraint in riemannian three-manifolds under some curvature condition used to prevent m\""obius degeneration. the construction relies on a lyapunov-schmidt reduction; to this aim we establish new geometric expansions of exponentiated small symmetric clifford tori and analyze the sharp asymptotic behavior of degenerating tori under the action of the m\""obius group. in this first work we prove two existence results by minimizing or maximizing a suitable reduced functional, in particular we obtain embedded area-constrained willmore tori (or, equivalently, toroidal critical points of the hawking mass under area-constraint) in compact 3-manifolds with constant scalar curvature and in the double schwarzschild space. in a forthcoming paper new existence theorems will be achieved via morse theory.",10.1112/plms.12047,2014-11-17,2017-05-06,"['norihisa ikoma', 'andrea malchiodi', 'andrea mondino']"
38,1412.6776,"a new treatment for some periodic schr\""{o}dinger operators i: the   eigenvalue",math-ph hep-th math.mp math.sp,"we study the problem of how the floquet property manifests for periodic schr\""{o}dinger operators which are known to have multiple of asymptotic spectral solutions. the main conclusions are made for elliptic potentials, we demonstrate that for each period of the elliptic function there is a relation about the floquet exponent and the monodromy of wave function. among them there are two relations not explained by the classical floquet theory. these relations produce both old and new asymptotic solutions consistent with results already known.",10.1088/0253-6102/69/2/115,2014-12-21,2019-04-05,['wei he']
39,1501.01051,multiple bubbles and fingers in a hele-shaw channel: complete set of   steady solutions,physics.flu-dyn math-ph math.mp nlin.si,"analytical solutions for both a finite assembly and a periodic array of bubbles steadily moving in a hele-shaw channel are presented. the particular case of multiple fingers penetrating into the channel and moving jointly with an assembly of bubbles is also analysed. the solutions are given by a conformal mapping from a multiply connected circular domain in an auxiliary complex plane to the fluid region exterior to the bubbles. in all cases the desired mapping is written explicitly in terms of certain special transcendental functions, known as the secondary schottky-klein prime functions. taken together, the solutions reported here represent the complete set of solutions for steady bubbles and fingers in a horizontal hele-shaw channel when surface tension is neglected. all previous solutions under these assumptions are particular cases of the general solutions reported here. other possible applications of the formalism described here are also discussed.",10.1017/jfm.2015.469,2015-01-05,2017-08-01,['giovani l. vasconcelos']
40,1502.06299,frustration index and cheeger inequalities for discrete and continuous   magnetic laplacians,math.sp math-ph math.co math.mp,"we discuss a cheeger constant as a mixture of the frustration index and the expansion rate, and prove the related cheeger inequalities and higher order cheeger inequalities for graph laplacians with cyclic signatures, discrete magnetic laplacians on finite graphs and magnetic laplacians on closed riemannian manifolds. in this process, we develop spectral clustering algorithms for partially oriented graphs and multi-way spectral clustering algorithms via metrics in lens spaces and complex projective spaces. as a byproduct, we give a unified viewpoint of harary's structural balance theory of signed graphs and the gauge invariance of magnetic potentials.",10.1007/s00526-015-0935-x,2015-02-22,2015-08-14,"['carsten lange', 'shiping liu', 'norbert peyerimhoff', 'olaf post']"
41,1502.07374,stochastic higher spin vertex models on the line,math.pr cond-mat.stat-mech math-ph math.mp nlin.si,"we introduce a four-parameter family of interacting particle systems on the line which can be diagonalized explicitly via a complete set of bethe ansatz eigenfunctions, and which enjoy certain markov dualities. using this, for the systems started in step initial data we write down nested contour integral formulas for moments and fredholm determinant formulas for laplace-type transforms. taking various choices or limits of parameters, this family degenerates to many of the known exactly solvable models in the kardar-parisi-zhang universality class, as well as leads to many new examples of such models. in particular, asep, the stochastic six-vertex model, q-tasep and various directed polymer models all arise in this manner. our systems are constructed from stochastic versions of the r-matrix related to the six-vertex model. one of the key tools used here is the fusion of r-matrices and we provide a probabilistic proof of this procedure.",10.1007/s00220-015-2479-5,2015-02-25,2019-06-06,"['ivan corwin', 'leonid petrov']"
42,1503.08232,isospectral deformations in qft: the massive case,math-ph math.mp,we consider isospectral deformations of quantum field theories by using the novel construction tool of warped convolutions. the deformation enables us to obtain a variety of models that are wedge-local and have nontrivial scattering matrices.,,2015-03-27,,['albert much']
