,id,title,categories,authors
40,0908.3961,a simple sketching algorithm for entropy estimation,stat.co math.st stat.th,"['peter clifford', 'ioana ada cosma']"
41,0910.1610,betti numbers of stanley-reisner rings determine hierarchical markov   degrees,math.ac math.co math.st stat.th,"['sonja petrović', 'erik stokes']"
42,0910.4397,the geometry of generalized binary search,stat.ml cs.it math.it math.st stat.th,['robert d. nowak']
43,0911.3633,a geometric approach to sample compression,cs.lg math.co math.gt stat.ml,"['benjamin i. p. rubinstein', 'j. hyam rubinstein']"
44,0912.0577,graph presentations for moments of noncentral wishart distributions and   their applications,math.st stat.th,"['satoshi kuriki', 'yasuhide numata']"
45,0912.1207,adaptive circular deconvolution by model selection under unknown error   distribution,math.st stat.th,"['jan johannes', 'maik schwarz']"
46,0912.3878,"p values, confidence intervals, or confidence levels for hypotheses?",stat.me,['michael wood']
47,0912.5193,ranking relations using analogies in biological and information networks,stat.me cs.lg physics.soc-ph q-bio.qm stat.ap,"['ricardo silva', 'katherine heller', 'zoubin ghahramani', 'edoardo m. airoldi']"
48,0912.5507,medlda: a general framework of maximum margin supervised topic models,stat.ml stat.me,"['jun zhu', 'amr ahmed', 'eric p. xing']"
49,1001.4684,on beta-product convolutions,math.pr math.st stat.th,['enkelejd hashorva']
50,1001.5103,on low rank matrix approximations with applications to synthesis problem   in compressed sensing,math.oc math.st stat.th,"['anatoli juditsky', 'fatma kilinc karzan', 'arkadii s. nemirovski']"
51,1002.0175,"bs\delta es and bsdes with non-lipschitz drivers: comparison,   convergence and robustness",math.pr math.st stat.th,"['patrick cheridito', 'mitja stadje']"
52,1002.0857,residuals and goodness-of-fit tests for stationary marked gibbs point   processes,math.st stat.th,"['jean-françois coeurjolly', 'frédéric lavancier']"
53,1002.1142,clustering and variable selection for categorical multivariate data,math.st stat.th,"['dominique bontemps', 'wilson toussile']"
54,1003.0173,compound markov counting processes and their applications to modeling   infinitesimally over-dispersed systems,math.st stat.th,"['carles breto', 'edward l. ionides']"
55,1003.0747,asymptotic results on adaptive false discovery rate controlling   procedures based on kernel estimators,math.st physics.data-an q-bio.qm stat.ap stat.me stat.th,['pierre neuvial']
56,1003.0848,penalized maximum likelihood estimation for generalized linear point   processes,math.st math.pr stat.me stat.th,['niels richard hansen']
57,1003.2253,a statistical view of learning in the centipede game,stat.me stat.ap,"['anton h. westveld', 'peter d. hoff']"
58,1004.3484,how close is the sample covariance matrix to the actual covariance   matrix?,math.pr math.fa math.st stat.th,['roman vershynin']
59,1005.0826,clustering processes,cs.lg cs.it math.it stat.ml,['daniil ryabko']
60,1005.0928,training linear ranking svms in linearithmic time using red-black trees,stat.ml,"['antti airola', 'tapio pahikkala', 'tapio salakoski']"
61,1005.4006,temporal link prediction using matrix and tensor factorizations,math.na cs.na physics.data-an stat.ml,"['daniel m. dunlavy', 'tamara g. kolda', 'evrim acar']"
62,1005.5082,a note on sparse minimum variance portfolios and coordinate-wise descent   algorithms,q-fin.pm q-fin.st stat.ap,['yu-min yen']
63,1005.5620,practical simulation and estimation for gibbs delaunay-voronoi   tessellations with geometric hardcore interaction,math.st stat.th,"['david dereudre', 'frédéric lavancier']"
64,1006.0621,a generalized multiple-try metropolis version of the reversible jump   algorithm,stat.me,"['s. pandolfi', 'f. bartolucci', 'n. friel']"
65,1006.0971,on the estimation of smooth densities by strict probability densities at   optimal rates in sup-norm,math.st stat.th,"['evarist giné', 'hailin sang']"
66,1006.4432,a statistical social network model for consumption data in food webs,stat.me q-bio.pe stat.ap,"['grace s. chiu', 'anton h. westveld']"
67,1006.5730,on the variances of a spatial unit root model,math.st stat.th,['sándor baran']
68,1006.5831,statistical inference in dynamic treatment regimes,stat.me stat.ml stat.ot,"['eric b. laber', 'min qian', 'dan j. lizotte', 'william e. pelham', 'susan a. murphy']"
69,1007.2109,wavelet analysis of the multivariate fractional brownian motion,math.pr math.st stat.th,"['jean-françois coeurjolly', 'pierre-olivier amblard', 'sophie achard']"
70,1007.2371,mm algorithms for geometric and signomial programming,math.na math.oc stat.co,"['kenneth lange', 'hua zhou']"
71,1007.3622,a generalized risk approach to path inference based on hidden markov   models,stat.ml cs.lg stat.co,"['jüri lember', 'alexey a. koloydenko']"
72,1007.4134,human daily activities indexing in videos from wearable cameras for   monitoring of patients with dementia diseases,cs.mm stat.ml,"['svebor karaman', 'jenny benois-pineau', 'rémi mégret', 'vladislavs dovgalecs', 'jean-françois dartigues', 'yann gaëstel']"
73,1007.4259,a consistent test of independence based on a sign covariance related to   kendall's tau,math.st stat.me stat.th,"['wicher bergsma', 'angelos dassios']"
74,1008.1150,modeling the growth of fingerprints improves matching for adolescents,cs.cv stat.ap,"['carsten gottschlich', 'thomas hotz', 'robert lorenz', 'stefanie bernhardt', 'michael hantschel', 'axel munk']"
75,1008.1716,partial estimation of covariance matrices,math.st math.pr stat.th,"['elizaveta levina', 'roman vershynin']"
76,1008.2145,fractional pure birth processes,math.pr math.st stat.th,"['enzo orsingher', 'federico polito']"
77,1008.2732,poisson loglinear modeling with linear constraints on the expected cell   frequencies,math.st stat.th,"['nirian martin', 'leandro pardo']"
78,1008.3651,accuracy guarantees for l1-recovery,math.st cs.sy math.oc stat.th,"['anatoli iouditski', 'arkadii s. nemirovski']"
79,1008.5090,fixed-point and coordinate descent algorithms for regularized kernel   methods,cs.lg math.oc stat.co stat.ml,['francesco dinuzzo']
80,1008.5227,multiplicative random walk metropolis-hastings on the real line,stat.co,['somak dutta']
81,1009.0893,fitting birth-death processes to panel data with applications to   bacterial dna fingerprinting,stat.co q-bio.pe stat.ap,"['charles r. doss', 'marc a. suchard', 'ian holmes', 'midori kato-maeda', 'vladimir n. minin']"
82,1009.4279,identification of discrete concentration graph models with one hidden   binary variable,stat.me math.st stat.th,"['elena stanghellini', 'barbara vantaggi']"
83,1009.4434,the universal glivenko-cantelli property,math.pr math.fa math.mg math.st stat.th,['ramon van handel']
84,1009.5173,gains in power from structured two-sample tests of means on graphs,q-bio.qm stat.ap,"['laurent jacob', 'pierre neuvial', 'sandrine dudoit']"
85,1009.5358,task-driven dictionary learning,stat.ml,"['julien mairal', 'francis bach', 'jean ponce']"
86,1009.5981,empirical bayes methods corrected for small numbers of tests,stat.me cs.it math.it math.st q-bio.qm stat.th,"['marta padilla', 'david r. bickel']"
87,1010.0520,successive normalization of rectangular arrays,math.st stat.th,"['richard a. olshen', 'bala rajaratnam']"
88,1010.0822,discussion of: brownian distance covariance,stat.ap,['michael r. kosorok']
89,1010.2334,screening and metamodeling of computer experiments with functional   outputs. application to thermal-hydraulic computations,math.st stat.th,"['benjamin auder', 'agnes de crecy', 'bertrand iooss', 'michel marques']"
90,1011.1170,interacting multiple try algorithms with different proposal   distributions,stat.co,"['roberto casarin', 'radu v. craiu', 'fabrizio leisen']"
91,1011.1356,estimation in discretely observed diffusions killed at a threshold,math.pr math.st stat.th,"['enrico bibbona', 'susanne ditlevsen']"
92,1011.1373,the loss rank criterion for variable selection in linear regression   analysis,stat.me stat.ml,['minh-ngoc tran']
93,1011.1703,point process modeling for directed interaction networks,stat.me cs.si math.st stat.th,"['patrick o. perry', 'patrick j. wolfe']"
94,1011.1877,limits of spiked random matrices i,math.pr math-ph math.mp math.st stat.th,"['alex bloemendal', 'bálint virág']"
95,1011.2331,intertwining and commutation relations for birth-death processes,math.pr math.st stat.th,"['djalil chafaï', 'aldéric joulin']"
96,1011.4832,variational approximation for heteroscedastic linear models and matching   pursuit algorithms,stat.me stat.ml,"['david j. nott', 'minh-ngoc tran', 'chenlei leng']"
97,1011.4916,fast bivariate penalized splines: the sandwich smoother,stat.me math.st stat.th,"['luo xiao', 'yingxing li', 'david ruppert']"
98,1011.5770,a bayesian approach to star-galaxy classification,astro-ph.im physics.data-an stat.ap,"['marc henrion', 'daniel j. mortlock', 'david j. hand', 'axel gandy']"
99,1012.0269,temporal and spatial independent component analysis for fmri data sets   embedded in a r package,stat.co physics.med-ph stat.ap,"['cécile bordier', 'michel dojat', 'pierre lafaye de micheaux']"
100,1012.0996,local consistency of markov chain monte carlo methods,stat.me math.st stat.th,['kengo kamatani']
101,1012.1086,two proposals for robust pca using semidefinite programming,stat.co,"['michael mccoy', 'joel tropp']"
102,1012.4921,approximate tail probabilities of the maximum of a chi-square field on   multi-dimensional lattice points and their applications to detection of loci   interactions,stat.me,"['satoshi kuriki', 'yoshiaki harushima', 'hironori fujisawa', 'nori kurata']"
103,1101.0305,measuring support for a hypothesis about a random parameter without   estimating its unknown prior,math.st cs.it math.it q-bio.qm stat.me stat.th,['david r. bickel']
104,1101.1057,sparsity regret bounds for individual sequences in online linear   regression,stat.ml cs.lg math.st stat.th,['sébastien gerchinovitz']
105,1101.3229,sparse single-index model,math.st stat.th,"['pierre alquier', 'gérard biau']"
106,1101.4038,"boundary crossing random walks, clinical trials and multinomial   sequential estimation",math.st math.pr stat.th,"['enrico bibbona', 'alessandro rubba']"
107,1101.5790,parameter estimation for alpha-fractional bridges,math.pr math.st stat.th,"['khalifa es-sebaiy', 'ivan nourdin']"
108,1102.0110,multiplier bootstrap of tail copulas with applications,math.st stat.th,"['axel bücher', 'holger dette']"
109,1102.0534,a comparison principle for functions of a uniformly random subspace,math.pr math.mg math.st stat.th,['joel a. tropp']
110,1102.0673,joint estimation of intersecting context tree models,math.st stat.th,"['antonio galves', 'aurélien garivier', 'elisabeth gassiat']"
111,1102.1191,smoothed log-concave maximum likelihood estimation with applications,math.st stat.me stat.th,"['yining chen', 'richard j. samworth']"
112,1102.1620,on a fractional linear birth--death process,math.pr math.st stat.th,"['enzo orsingher', 'federico polito']"
113,1102.2490,the kl-ucb algorithm for bounded stochastic bandits and beyond,math.st cs.lg cs.sy math.oc stat.th,"['aurélien garivier', 'olivier cappé']"
114,1102.2650,estimating and understanding exponential random graph models,math.pr math-ph math.mp math.st stat.th,"['sourav chatterjee', 'persi diaconis']"
115,1102.3318,parameter estimation in a spatial unit root autoregressive model,math.st stat.th,"['sándor baran', 'gyula pap']"
116,1102.4003,likelihood ratio type two-sample tests for current status data,math.st stat.ap stat.th,['piet groeneboom']
117,1102.4110,joint and individual variation explained (jive) for integrated analysis   of multiple data types,stat.ml stat.ap stat.me,"['eric f. lock', 'katherine a. hoadley', 'j. s. marron', 'andrew b. nobel']"
118,1102.4674,a lower bound for the graver complexity of the incidence matrix of a   complete bipartite graph,math.st stat.th,"['taisei kudo', 'akimichi takemura']"
119,1102.4811,robust nonparametric detection of objects in noisy images,math.st math-ph math.mp math.pr stat.ap stat.me stat.th,"['mikhail a. langovoy', 'olaf wittich']"
120,1102.5014,randomized algorithms for statistical image analysis and site   percolation on square lattices,math.st math.pr stat.me stat.ml stat.th,"['mikhail a. langovoy', 'olaf wittich']"
121,1102.5176,estimating the scaling function of multifractal measures and   multifractal random walks using ratios,math.st stat.th,"['carenne ludeña', 'philippe soulier']"
122,1103.2486,dynamic retrospective regression for functional data,stat.me,['daniel gervini']
123,1103.3512,wavelet penalized likelihood estimation in generalized functional models,math.st stat.th,['irène gannaz']
124,1103.3681,optimal dimensionality reduction of complex dynamics: the chess game as   diffusion on a free energy landscape,physics.data-an nlin.ao physics.chem-ph physics.soc-ph stat.ml,['sergei v. krivov']
125,1103.3738,a path algorithm for constrained estimation,stat.co,"['hua zhou', 'kenneth lange']"
126,1103.5679,weak consistency of markov chain monte carlo methods,math.st stat.me stat.th,['kengo kamatani']
127,1104.0354,low-rank matrix recovery from errors and erasures,cs.it math.it stat.ml,"['yudong chen', 'ali jalali', 'sujay sanghavi', 'constantine caramanis']"
128,1104.0841,limit laws in transaction-level asset price models,math.st stat.th,"['alexander aue', 'lajos horváth', 'clifford m. hurvich', 'philippe soulier']"
129,1104.0896,on identifying significant edges in graphical models of molecular   networks,stat.ml stat.me,"['marco scutari', 'radhakrishnan nagarajan']"
130,1104.1807,locally adaptive density estimation on the unit sphere using needlets,stat.me,['audrey kueh']
131,1104.2504,a discrete adapted hierarchical basis solver for radial basis function   interpolation,cs.na math.st stat.th,"['julio enrique castrillon-candas', 'jun li', 'victor eijkhout']"
132,1104.2930,cluster forests,stat.me cs.lg stat.ml,"['donghui yan', 'aiyou chen', 'michael i. jordan']"
133,1104.3074,consistency of the mean and the principal components of spatially   distributed functional data,math.st stat.th,"['siegfried hörmann', 'piotr kokoszka']"
134,1104.3966,on inference for fractional differential equations,math.pr math.st stat.th,"['alexandra chronopoulou', 'samy tindel']"
135,1104.5061,on combining machine learning with decision making,math.oc cs.lg stat.ml,"['theja tulabandhula', 'cynthia rudin']"
136,1105.0014,a test of significance in functional quadratic regression,math.st stat.th,"['lajos horváth', 'ron reeder']"
137,1105.0728,structured sparsity via alternating direction methods,math.oc cs.ai stat.ml,"['zhiwei qin', 'donald goldfarb']"
138,1105.0828,missforest - nonparametric missing value imputation for mixed-type data,stat.ap stat.ml,"['daniel j. stekhoven', 'peter bühlmann']"
139,1105.0875,a risk comparison of ordinary least squares vs ridge regression,stat.ml,"['paramveer s. dhillon', 'dean p. foster', 'sham m. kakade', 'lyle h. ungar']"
140,1105.1011,wavelet estimation of the long memory parameter for hermite polynomial   of gaussian processes,math.st stat.th,"['marianne clausel', 'françois roueff', 'murad s. taqqu', 'ciprian a. tudor']"
141,1105.1475,pivotal estimation via square-root lasso in nonparametric regression,stat.me math.st stat.th,"['alexandre belloni', 'victor chernozhukov', 'lie wang']"
142,1105.1508,approximate inference via variational sampling,stat.co,['alexis roche']
143,1105.2135,confidence bands for horvitz-thompson estimators using sampled noisy   functional data,math.st stat.me stat.th,"['hervé cardot', 'david degras', 'etienne josserand']"
144,1105.2879,stochastic bandit based on empirical moments,math.st stat.th,"['junya honda', 'akimichi takemura']"
145,1105.3007,local identification of nonparametric and semiparametric models,math.st stat.me stat.th,"['xiaohong chen', 'victor chernozhukov', 'sokbae lee', 'whitney k. newey']"
146,1105.4507,consistent model selection of discrete bayesian networks from incomplete   data,math.st stat.th,['nikolay h. balov']
147,1105.6075,marginal log-linear parameters for graphical markov models,stat.me,"['robin j. evans', 'thomas s. richardson']"
148,1105.6145,maximum lilkelihood estimation in the $\beta$-model,stat.ot cs.dm math.st stat.th,"['alessandro rinaldo', 'sonja petrović', 'stephen e. fienberg']"
149,1106.0972,counterfactual analyses with graphical models based on local   independence,math.st math.pr stat.th,['kjetil røysland']
150,1106.2229,"fast, linear time hierarchical clustering using the baire metric",stat.ml cs.ir stat.ap,"['pedro contreras', 'fionn murtagh']"
151,1106.2363,random design analysis of ridge regression,math.st cs.ai cs.lg stat.ml stat.th,"['daniel hsu', 'sham m. kakade', 'tong zhang']"
152,1106.2429,efficient transductive online learning via randomized rounding,cs.lg stat.ml,"['nicolò cesa-bianchi', 'ohad shamir']"
153,1106.2674,aggregation of isotropic autoregressive fields,math.st math.pr stat.th,['frédéric lavancier']
154,1106.2775,covariance estimation for distributions with $2+\varepsilon$ moments,math.pr math.st stat.th,"['nikhil srivastava', 'roman vershynin']"
155,1106.2790,sequential analysis of cox model under response dependent allocation,math.st stat.th,"['xiaolong luo', 'gongjun xu', 'zhiliang ying']"
156,1106.3520,stochastic search for semiparametric linear regression models,stat.me math.st stat.th,"['lutz duembgen', 'dominic schuhmacher', 'richard samworth']"
157,1106.4490,simple estimators of false discovery rates given as few as one or two   p-values without strong parametric assumptions,stat.me math.st q-bio.qm stat.th,['david r. bickel']
158,1106.4739,nonasymptotic bounds on the estimation error of mcmc algorithms,stat.me math.st stat.co stat.th,"['krzysztof łatuszyński', 'błażej miasojedow', 'wojciech niemiro']"
159,1106.5485,on hyperbolic bessel processes and beyond,math.pr math.st stat.th,"['jacek jakubowski', 'maciej wiśniewolski']"
160,1106.5758,distance covariance in metric spaces,math.st math.mg math.pr stat.th,['russell lyons']
161,1106.5834,a method for generating realistic correlation matrices,math.st stat.ap stat.th,"['johanna hardin', 'stephan ramon garcia', 'david golan']"
162,1106.5850,markov chain monte carlo based on deterministic transformations,stat.co,"['somak dutta', 'sourabh bhattacharya']"
163,1107.0417,on low-dimensional projections of high-dimensional distributions,math.st stat.th,"['lutz duembgen', 'perla zerial']"
164,1107.0789,distributed matrix completion and robust factorization,cs.lg cs.ds cs.na math.na stat.ml,"['lester mackey', 'ameet talwalkar', 'michael i. jordan']"
165,1107.0864,a procedure for the change point problem in parametric models based on   phi-divergence test-statistics,math.st stat.th,"['apostolos batsidis', 'nirian martín', 'leandro pardo', 'konstantinos zografos']"
166,1107.2104,an estimation of distribution algorithm with adaptive gibbs sampling for   unconstrained global optimization,cs.ne math.oc stat.ml,"['jonás velasco', 'mario a. saucedo-espinosa', 'hugo jair escalante', 'karlo mendoza', 'césar emilio villarreal-rodríguez', 'óscar l. chacón-mondragón', 'adrián rodríguez', 'arturo berrones']"
167,1107.2205,sequential monte carlo em for multivariate probit models,stat.me stat.co,"['giusi moffa', 'jack kuipers']"
168,1107.2261,functional kernel estimators of large conditional quantiles,math.st stat.th,"['laurent gardes', 'stéphane girard']"
169,1107.2387,fluctuation geometry: a counterpart approach of inference geometry,math.st cond-mat.stat-mech math-ph math.mp stat.th,['l velazquez']
170,1107.3059,from small-world networks to comparison-based search,cs.lg cs.ds cs.it cs.si math.it stat.ml,"['amin karbasi', 'stratis ioannidis', 'laurent massoulie']"
171,1107.3880,statistical investigation of increments of currency rates logarithms,math.st math.pr stat.th,['andrey sarantsev']
172,1107.4067,finding non-overlapping clusters for generalized inference over   graphical models,stat.ml cs.it math.it,"['divyanshu vats', 'josé m. f. moura']"
173,1107.4344,detection with the scan and the average likelihood ratio,stat.me,"['hock peng chan', 'guenther walther']"
174,1107.4637,efficient variational inference in large-scale bayesian compressed   sensing,cs.cv cs.it math.it stat.ml,"['george papandreou', 'alan yuille']"
175,1107.5338,classification of molecular sequence data using bayesian phylogenetic   mixture models,q-bio.qm stat.ap,"['elisa loza-reyes', 'merrilee hurn', 'tony robinson']"
176,1107.5658,testing the isotropy of high energy cosmic rays using spherical needlets,stat.ap astro-ph.he stat.me,"['gilles faÿ', 'jacques delabrouille', 'gérard kerkyacharian', 'dominique picard']"
177,1107.5829,a gibbs sampler on the $n$-simplex,math.pr stat.co,['aaron smith']
178,1108.0185,oem for least squares problems,stat.co,"['shifeng xiong', 'bin dai', 'peter z. g. qian']"
179,1108.1483,algebraic geometric comparison of probability distributions,stat.ml,"['franz j. kiraly', 'paul von buenau', 'frank c. meinecke', 'duncan a. j. blythe', 'klaus-robert mueller']"
180,1108.1494,gradient flow from a random walk in hilbert space,math.st math.pr stat.co stat.th,"['natesh s. pillai', 'andrew m. stuart', 'alexandre h. thiery']"
181,1108.1884,estimation of parameters in dna mixture analysis,stat.me,"['therese graversen', 'steffen lauritzen']"
182,1108.2471,latent protein trees,stat.ap,"['ricardo henao', 'j. will thompson', 'm. arthur moseley', 'geoffrey s. ginsburg', 'lawrence carin', 'joseph e. lucas']"
183,1108.2477,local degeneracy of markov chain monte carlo methods,stat.me math.st stat.th,['kengo kamatani']
184,1108.3262,bayesian inference in nonparametric dynamic state-space models,stat.me,"['anurag ghosh', 'soumalya mukhopadhyay', 'sandipan roy', 'sourabh bhattacharya']"
185,1108.3438,on a class of explicit cauchy-stieltjes transforms related to monotone   stable and free poisson laws,math.pr math.st stat.th,"['octavio arizmendi', 'takahiro hasebe']"
186,1108.4739,"variable selection and sensitivity analysis using dynamic trees, with an   application to computer code performance tuning",stat.ap,"['robert b. gramacy', 'matt taddy', 'stefan m. wild']"
187,1108.5244,semi-supervised logistic discrimination via labeled data and unlabeled   data from different sampling distributions,stat.ml stat.me,['shuichi kawano']
188,1108.5364,phylogenetic ornstein-uhlenbeck regression curves,stat.me stat.ap stat.co,"['dwueng-chwuan jhwueng', 'vasileios maroulas']"
189,1108.6032,likelihood inference for archimedean copulas,math.st stat.th,"['marius hofert', 'martin mächler', 'alexander j. mcneil']"
190,1109.0152,"stable graphical model estimation with random forests for discrete,   continuous, and mixed variables",stat.me stat.ap stat.co,"['bernd fellinghauer', 'peter bühlmann', 'martin ryffel', 'michael von rhein', 'jan d. reinhardt']"
191,1109.0887,learning nonlinear functions using regularized greedy forest,stat.ml,"['rie johnson', 'tong zhang']"
192,1109.0898,detection of a sparse submatrix of a high-dimensional noisy matrix,math.st stat.th,"['cristina butucea', 'yuri i. ingster']"
193,1109.1077,nonparametric link prediction in large scale dynamic networks,stat.ml cs.si physics.soc-ph,"['purnamrita sarkar', 'deepayan chakrabarti', 'michael jordan']"
194,1109.2694,kernel density estimation for stationary random fields,math.st stat.th,['mohamed el machkouri']
195,1109.3250,convergence of latent mixing measures in finite and infinite mixture   models,math.st stat.ml stat.th,['xuanlong nguyen']
196,1109.3732,on the convergence of finite order approximations of stationary time   series,math.st math.sp stat.th,"['symantak datta gupta', 'ravi r. mazumdar', 'peter w. glynn']"
197,1109.4003,glmmlasso: an algorithm for high-dimensional generalized linear mixed   models using l1-penalization,stat.co math.st stat.th,"['jürg schelldorfer', 'lukas meier', 'peter bühlmann']"
198,1109.4533,construction of an informative hierarchical prior for a small sample   with the help of historical data and application to electricity load   forecasting,stat.ap math.st stat.th,"['tristan launay', 'anne philippe', 'sophie lamarche']"
199,1109.4928,rpa: probabilistic analysis of probe performance and robust   summarization,cs.ce stat.ap stat.ml,"['leo lahti', 'laura l. elo', 'tero aittokallio', 'samuel kaski']"
200,1109.5909,markov properties for mixed graphs,stat.ot math.st stat.ml stat.th,"['kayvan sadeghi', 'steffen lauritzen']"
201,1109.6042,some fundamental properties of a multivariate von mises distribution,math.st stat.th,"['kanti v. mardia', 'jochen voss']"
202,1109.6090,robust parametric classification and variable selection by a minimum   distance criterion,stat.me stat.co stat.ml,"['eric c. chi', 'david w. scott']"
203,1109.6406,adaptive bayesian multivariate density estimation with dirichlet   mixtures,math.st stat.th,"['weining shen', 'surya t. tokdar', 'subhashis ghosal']"
204,1109.6779,stability properties of some particle filters,stat.co math.pr,['nick whiteley']
205,1110.0532,strange beta: an assistance system for indoor rock climbing route   setting using chaotic variations and machine learning,cs.ai cs.hc stat.ap,"['caleb phillips', 'lee becker', 'elizabeth bradley']"
206,1110.1265,bayesian multivariate mixed-scale density estimation,math.st stat.th,"['antonio canale', 'david b. dunson']"
207,1110.1364,"estimation of the number of spikes, possibly equal, in the   high-dimensional case",math.st stat.th,"['damien passemier', 'jian-feng yao']"
208,1110.1773,positive definite matrices and the s-divergence,math.fa stat.ml,['suvrit sra']
209,1110.2306,ground metric learning,stat.ml cs.cv cs.lg,"['marco cuturi', 'david avis']"
210,1110.2894,two algorithms for fitting constrained marginal models,stat.co stat.me,"['robin j. evans', 'antonio forcina']"
211,1110.3572,information bounds for gaussian copulas,math.st stat.th,"['peter d. hoff', 'xiaoyue niu', 'jon a. wellner']"
212,1110.3599,testing over a continuum of null hypotheses with false discovery rate   control,stat.me,"['gilles blanchard', 'sylvain delattre', 'etienne roquain']"
